Prix($),Marque,Modèle,Classe,Portes,Longueur(cm),Hauteur(cm),Largeur(cm),Empattement(cm),Moteur(cm³),Poids(t),Carburant,ConsommationVille(L/100km),ConsommationAutoroute(L/100km),PositionMoteur,Transmission,Chevaux,Régime(tr/min),Turbo,Cylindres,Injecteur,TypeMoteur,Alésage(mm),Piston(cm),TauxCompression,CoteRisque
7895.0,Honda,Accord,Hayon,3,425,135,166,245,1803,1.014,Essence,0.115,0.14,Avant,Traction avant,86,5800,False,4,1BBL,OHC,80,9,9.0,0
9095.0,Honda,Civic 1300,Hayon,3,425,135,166,245,1803,1.038,Essence,0.115,0.14,Avant,Traction avant,86,5800,False,4,1BBL,OHC,80,9,9.0,0
8845.0,Honda,Prelude,Berline,5,446,137,166,245,1803,1.045,Essence,0.115,0.14,Avant,Traction avant,86,5800,False,4,1BBL,OHC,80,9,9.0,0
10295.0,Honda,Accord,Berline,5,446,137,159,245,1803,1.076,Essence,0.115,0.14,Avant,Traction avant,86,5800,False,4,1BBL,OHC,80,9,9.0,0
12945.0,Honda,Civic,Berline,5,446,137,166,245,1803,1.118,Essence,0.102,0.119,Avant,Traction avant,101,5800,False,4,MPFI,OHC,80,9,9.0,0
10345.0,Honda,Civic (Auto),Berline,3,430,130,168,245,1803,1.04,Essence,0.106,0.132,Avant,Traction avant,100,5500,False,4,2BBL,OHC,80,9,9.1,1
6785.0,Isuzu,Mu-X,Berline,5,434,136,157,240,1819,1.06,Essence,0.102,0.123,Avant,Propulsion arrière,78,4800,False,4,2BBL,OHC,84,8,8.5,0
8916.5,Isuzu,D-Max ,Berline,3,396,132,162,240,1475,0.85,Essence,0.162,0.183,Avant,Traction avant,70,5400,False,4,2BBL,OHC,77,8,9.6,1
8916.5,Isuzu,D-Max V-Cross,Berline,5,396,132,162,240,1475,0.866,Essence,0.162,0.183,Avant,Traction avant,70,5400,False,4,2BBL,OHC,77,8,9.6,0
11048.0,Isuzu,D-Max ,Hayon,3,438,131,166,244,1950,1.24,Essence,0.102,0.123,Avant,Propulsion arrière,90,5000,False,4,SPFI,OHC,87,8,9.2,2
32250.0,Jaguar,Xj,Berline,5,507,134,177,287,4228,1.844,Essence,0.064,0.081,Avant,Propulsion arrière,176,4750,False,6,MPFI,DOHC,92,11,8.1,0
35550.0,Jaguar,Xf,Berline,5,507,134,177,287,4228,1.844,Essence,0.064,0.081,Avant,Propulsion arrière,176,4750,False,6,MPFI,DOHC,92,11,8.1,0
36000.0,Jaguar,Xk,Berline,3,487,121,179,259,5342,1.792,Essence,0.055,0.072,Avant,Propulsion arrière,262,5000,False,12,MPFI,OHCV,90,7,11.5,0
5195.0,Mazda,Rx3,Hayon,3,404,137,163,236,1491,0.857,Essence,0.128,0.132,Avant,Traction avant,68,5000,False,4,2BBL,OHC,77,8,9.0,1
6095.0,Mazda,Glc Deluxe,Hayon,3,404,137,163,236,1491,0.862,Essence,0.132,0.162,Avant,Traction avant,68,5000,False,4,2BBL,OHC,77,8,9.0,1
6795.0,Mazda,Rx2 Coupe,Hayon,3,404,137,163,236,1491,0.864,Essence,0.132,0.162,Avant,Traction avant,68,5000,False,4,2BBL,OHC,77,8,9.0,1
6695.0,Mazda,Rx-4,Berline,5,424,137,163,236,1491,0.882,Essence,0.132,0.162,Avant,Traction avant,68,5000,False,4,2BBL,OHC,77,8,9.0,1
7395.0,Mazda,Glc Deluxe,Berline,5,424,137,163,236,1491,0.885,Essence,0.132,0.162,Avant,Traction avant,68,5000,False,4,2BBL,OHC,78,8,9.0,1
10945.0,Mazda,626,Hayon,3,429,126,167,242,1147,1.08,Essence,0.072,0.098,Avant,Propulsion arrière,101,6000,False,2,4BBL,ROTOR,85,8,9.4,3
11845.0,Mazda,Glc,Hayon,3,429,126,167,242,1147,1.08,Essence,0.072,0.098,Avant,Propulsion arrière,101,6000,False,2,4BBL,ROTOR,85,8,9.4,3
13645.0,Mazda,Rx-7 Gs,Hayon,3,429,126,167,242,1147,1.082,Essence,0.072,0.098,Avant,Propulsion arrière,101,6000,False,2,4BBL,ROTOR,85,8,9.4,3
15645.0,Mazda,Glc 4,Hayon,3,429,126,167,242,1311,1.134,Essence,0.068,0.098,Avant,Propulsion arrière,135,6000,False,2,MPFI,ROTOR,85,8,9.4,3
8845.0,Mazda,626,Hayon,3,452,136,169,251,1999,1.082,Essence,0.111,0.136,Avant,Traction avant,84,4800,False,4,2BBL,OHC,86,9,8.6,1
8495.0,Mazda,Glc Custom L,Berline,5,452,141,169,251,1999,1.093,Essence,0.111,0.136,Avant,Traction avant,84,4800,False,4,2BBL,OHC,86,9,8.6,0
10595.0,Mazda,Glc Custom,Hayon,3,452,136,169,251,1999,1.082,Essence,0.111,0.136,Avant,Traction avant,84,4800,False,4,2BBL,OHC,86,9,8.6,1
10245.0,Mazda,Rx-4,Berline,5,452,141,169,251,1999,1.093,Essence,0.111,0.136,Avant,Traction avant,84,4800,False,4,2BBL,OHC,86,9,8.6,0
10795.0,Mazda,Glc Deluxe,Berline,5,452,141,169,251,1999,1.108,Diesel,0.153,0.179,Avant,Traction avant,64,4650,False,4,IDI,OHC,86,9,22.7,0
11245.0,Mazda,626,Hayon,5,452,141,169,251,1999,1.1,Essence,0.111,0.136,Avant,Traction avant,84,4800,False,4,2BBL,OHC,86,9,8.6,0
18280.0,Mazda,Glc,Berline,5,444,138,168,266,2294,1.211,Essence,0.081,0.115,Avant,Propulsion arrière,120,5000,False,4,MPFI,OHC,96,8,8.0,0
18344.0,Mazda,Rx-7 Gs,Berline,5,444,138,168,266,2196,1.225,Diesel,0.132,0.166,Avant,Propulsion arrière,72,4200,False,4,IDI,OHC,87,9,22.0,0
25552.0,Buick,Electra 225 Custom,Berline,5,485,144,179,279,2999,1.594,Diesel,0.094,0.106,Avant,Propulsion arrière,123,4350,True,5,IDI,OHC,91,9,21.5,-1
28248.0,Buick,Century Luxus (Sw),Break,5,485,149,179,279,2999,1.701,Diesel,0.094,0.106,Avant,Propulsion arrière,123,4350,True,5,IDI,OHC,91,9,21.5,-1
28176.0,Buick,Century,Coupé,3,476,139,179,271,2999,1.585,Diesel,0.094,0.106,Avant,Propulsion arrière,123,4350,True,5,IDI,OHC,91,9,21.5,0
31600.0,Buick,Skyhawk,Berline,5,515,143,182,294,2999,1.71,Diesel,0.094,0.106,Avant,Propulsion arrière,123,4350,True,5,IDI,OHC,91,9,21.5,-1
34184.0,Buick,Opel Isuzu Deluxe,Berline,5,515,144,182,294,3835,1.696,Essence,0.068,0.077,Avant,Propulsion arrière,155,4750,False,8,MPFI,OHCV,88,8,8.3,-1
35056.0,Buick,Skylark,Cabriolet,3,458,129,179,245,3835,1.671,Essence,0.068,0.077,Avant,Propulsion arrière,155,4750,False,8,MPFI,OHCV,88,8,8.3,3
40960.0,Buick,Century Special,Berline,5,529,144,182,307,5047,1.769,Essence,0.06,0.068,Avant,Propulsion arrière,184,4500,False,8,MPFI,OHCV,97,9,8.0,0
45400.0,Buick,Regal Sport Coupe (Turbo),Coupé,3,506,141,183,284,4982,1.685,Essence,0.06,0.068,Avant,Propulsion arrière,184,4500,False,8,MPFI,OHCV,97,9,8.0,1
16503.0,Mercury,Cougar,Hayon,3,453,139,173,261,2294,1.32,Essence,0.081,0.102,Avant,Propulsion arrière,175,5000,True,4,MPFI,OHC,96,8,8.0,1
5389.0,Mitsubishi,Mirage,Hayon,3,400,129,164,238,1508,0.87,Essence,0.157,0.174,Avant,Traction avant,68,5500,False,4,2BBL,OHC,75,8,9.4,2
6189.0,Mitsubishi,Lancer,Hayon,3,400,129,164,238,1508,0.882,Essence,0.132,0.162,Avant,Traction avant,68,5500,False,4,2BBL,OHC,75,8,9.4,2
6669.0,Mitsubishi,Outlander,Hayon,3,400,129,164,238,1508,0.909,Essence,0.132,0.162,Avant,Traction avant,68,5500,False,4,2BBL,OHC,75,8,9.4,2
7689.0,Mitsubishi,G4,Hayon,3,400,129,162,236,1606,0.973,Essence,0.102,0.128,Avant,Traction avant,102,5500,True,4,SPDI,OHC,77,9,7.6,1
9959.0,Mitsubishi,Mirage G4,Hayon,3,439,125,166,245,1803,1.075,Essence,0.098,0.128,Avant,Traction avant,116,5500,True,4,SPDI,OHC,81,9,7.5,3
8499.0,Mitsubishi,G4,Hayon,3,439,125,166,245,1999,1.056,Essence,0.106,0.136,Avant,Traction avant,88,5000,False,4,2BBL,OHC,85,9,8.5,3
12629.0,Mitsubishi,Outlander,Hayon,3,440,128,168,244,2556,1.285,Essence,0.081,0.102,Avant,Traction avant,145,5000,True,4,SPDI,OHC,91,10,7.0,3
14869.0,Mitsubishi,G4,Hayon,3,440,128,168,244,2556,1.325,Essence,0.081,0.102,Avant,Traction avant,145,5000,True,4,SPDI,OHC,91,10,7.0,3
14489.0,Mitsubishi,Mirage G4,Hayon,3,440,128,168,244,2556,1.327,Essence,0.081,0.102,Avant,Traction avant,145,5000,True,4,SPDI,OHC,91,10,7.0,3
6989.0,Mitsubishi,Montero,Berline,5,438,131,166,245,1999,1.073,Essence,0.106,0.136,Avant,Traction avant,88,5000,False,4,2BBL,OHC,85,9,8.5,1
8189.0,Mitsubishi,Pajero,Berline,5,438,131,166,245,1999,1.091,Essence,0.106,0.136,Avant,Traction avant,88,5000,False,4,2BBL,OHC,85,9,8.5,1
9279.0,Mitsubishi,Outlander,Berline,5,438,131,166,245,1803,1.09,Essence,0.098,0.128,Avant,Traction avant,116,5500,True,4,SPDI,OHC,81,9,7.5,1
9279.0,Mitsubishi,Mirage G4,Berline,5,438,131,166,245,1803,1.09,Essence,0.098,0.128,Avant,Traction avant,116,5500,False,4,SPDI,OHC,81,9,7.5,-1
5499.0,Nissan,Versa,Berline,3,420,138,162,240,1590,0.857,Essence,0.132,0.157,Avant,Traction avant,69,5200,False,4,2BBL,OHC,80,8,9.4,1
7099.0,Nissan,Gt-R,Berline,3,420,138,162,240,1688,0.915,Diesel,0.191,0.213,Avant,Traction avant,55,4800,False,4,IDI,OHC,76,9,21.9,1
6649.0,Nissan,Rogue,Berline,3,420,138,162,240,1590,0.87,Essence,0.132,0.157,Avant,Traction avant,69,5200,False,4,2BBL,OHC,80,8,9.4,1
6849.0,Nissan,Latio,Berline,5,420,138,162,240,1590,0.879,Essence,0.132,0.157,Avant,Traction avant,69,5200,False,4,2BBL,OHC,80,8,9.4,1
7349.0,Nissan,Titan,Break,5,432,136,162,240,1590,0.918,Essence,0.132,0.157,Avant,Traction avant,69,5200,False,4,2BBL,OHC,80,8,9.4,1
7299.0,Nissan,Leaf,Berline,3,420,138,162,240,1590,0.885,Essence,0.132,0.157,Avant,Traction avant,69,5200,False,4,2BBL,OHC,80,8,9.4,1
7799.0,Nissan,Juke,Hayon,3,421,135,162,240,1590,0.92,Essence,0.132,0.157,Avant,Traction avant,69,5200,False,4,2BBL,OHC,80,8,9.4,1
7499.0,Nissan,Latio,Berline,5,420,138,162,240,1590,0.894,Essence,0.132,0.157,Avant,Traction avant,69,5200,False,4,2BBL,OHC,80,8,9.4,1
7999.0,Nissan,Note,Break,5,432,136,162,240,1590,0.924,Essence,0.132,0.157,Avant,Traction avant,69,5200,False,4,2BBL,OHC,80,8,9.4,1
8249.0,Nissan,Clipper,Coupé,3,412,135,162,242,1590,0.911,Essence,0.132,0.157,Avant,Traction avant,69,5200,False,4,2BBL,OHC,80,8,9.4,2
8949.0,Nissan,Rogue,Hayon,5,440,139,166,247,1966,1.054,Essence,0.115,0.145,Avant,Traction avant,97,5200,False,4,2BBL,OHC,85,9,8.5,0
9549.0,Nissan,Nv200,Berline,5,440,139,166,247,1966,1.044,Essence,0.115,0.145,Avant,Traction avant,97,5200,False,4,2BBL,OHC,85,9,8.5,0
13499.0,Nissan,Dayz,Berline,5,462,140,169,255,2966,1.404,Essence,0.072,0.094,Avant,Traction avant,152,5200,False,6,MPFI,OHCV,87,8,9.0,0
14399.0,Nissan,Fuga,Break,5,469,142,169,255,2966,1.495,Essence,0.072,0.094,Avant,Traction avant,152,5200,False,6,MPFI,OHCV,87,8,9.0,0
13499.0,Nissan,Otti,Berline,5,469,140,169,255,2966,1.388,Essence,0.081,0.106,Avant,Traction avant,152,5200,False,6,MPFI,OHCV,87,8,9.0,0
17199.0,Nissan,Teana,Hayon,3,434,126,172,232,2966,1.393,Essence,0.081,0.106,Avant,Propulsion arrière,160,5200,False,6,MPFI,OHCV,87,8,9.0,3
19699.0,Nissan,Kicks,Hayon,3,434,126,172,232,2966,1.424,Essence,0.072,0.098,Avant,Propulsion arrière,200,5200,True,6,MPFI,OHCV,87,8,7.8,3
18399.0,Nissan,Clipper,Hayon,3,453,126,172,252,2966,1.424,Essence,0.081,0.106,Avant,Propulsion arrière,160,5200,False,6,MPFI,OHCV,87,8,9.0,1
11900.0,Peugeot,504,Berline,5,474,144,174,274,1966,1.37,Essence,0.081,0.102,Avant,Propulsion arrière,97,5000,False,4,MPFI,L,88,8,8.4,0
13200.0,Peugeot,304,Berline,5,474,144,174,274,2491,1.45,Diesel,0.119,0.14,Avant,Propulsion arrière,95,4150,True,4,IDI,L,94,9,21.0,0
12440.0,Peugeot,504 (Sw),Break,5,505,149,174,290,1966,1.465,Essence,0.081,0.102,Avant,Propulsion arrière,97,5000,False,4,MPFI,L,88,8,8.4,0
13860.0,Peugeot,504,Break,5,505,149,174,290,2491,1.556,Diesel,0.106,0.106,Avant,Propulsion arrière,95,4150,True,4,IDI,L,94,9,21.0,0
15580.0,Peugeot,504,Berline,5,474,144,174,274,1966,1.395,Essence,0.081,0.102,Avant,Propulsion arrière,95,5000,False,4,MPFI,L,88,6,8.4,0
16900.0,Peugeot,604Sl,Berline,5,474,144,174,274,2491,1.475,Diesel,0.119,0.14,Avant,Propulsion arrière,95,4150,True,4,IDI,L,94,9,21.0,0
16695.0,Peugeot,504,Break,5,505,144,174,290,1966,1.49,Essence,0.081,0.102,Avant,Propulsion arrière,95,5000,False,4,MPFI,L,88,6,8.4,0
17075.0,Peugeot,505S Turbo Diesel,Break,5,505,149,174,290,2491,1.581,Diesel,0.106,0.106,Avant,Propulsion arrière,95,4150,True,4,IDI,L,94,9,21.0,0
16630.0,Peugeot,504,Berline,5,474,144,174,274,1966,1.395,Essence,0.081,0.102,Avant,Propulsion arrière,97,5000,False,4,MPFI,L,88,8,8.4,0
17950.0,Peugeot,504,Berline,5,474,144,174,274,2491,1.475,Diesel,0.119,0.14,Avant,Propulsion arrière,95,4150,True,4,IDI,L,94,9,21.0,0
18150.0,Peugeot,604Sl,Berline,5,474,142,173,274,2196,1.42,Essence,0.077,0.102,Avant,Propulsion arrière,142,5600,True,4,MPFI,L,92,8,7.0,0
5572.0,Plymouth,Fury Iii,Hayon,3,400,129,162,238,1475,0.87,Essence,0.157,0.174,Avant,Traction avant,68,5500,False,4,2BBL,OHC,75,8,9.4,1
7957.0,Plymouth,Cricket,Hayon,3,400,129,162,238,1606,0.965,Essence,0.102,0.128,Avant,Traction avant,102,5500,True,4,SPDI,OHC,77,9,7.6,1
6229.0,Plymouth,Fury Iii,Hayon,5,400,129,162,238,1475,0.892,Essence,0.132,0.162,Avant,Traction avant,68,5500,False,4,2BBL,OHC,75,8,9.4,1
6692.0,Plymouth,Satellite Custom (Sw),Berline,5,425,129,162,238,1475,0.902,Essence,0.132,0.162,Avant,Traction avant,68,5500,False,4,2BBL,OHC,75,8,9.4,1
7609.0,Plymouth,Fury Gran Sedan,Berline,5,425,129,162,238,1606,0.994,Essence,0.132,0.162,Avant,Traction avant,68,5500,False,4,2BBL,OHC,75,8,9.4,1
8921.0,Plymouth,Valiant,Break,5,443,152,164,262,1999,1.15,Essence,0.102,0.128,Avant,Traction avant,88,5000,False,4,2BBL,OHC,85,9,8.5,-1
12764.0,Plymouth,Duster,Hayon,3,440,128,168,244,2556,1.278,Essence,0.081,0.102,Avant,Propulsion arrière,145,5000,True,4,SPDI,OHC,91,10,7.0,3
22018.0,Porsche,Macan,Hayon,3,429,128,173,240,2474,1.26,Essence,0.081,0.115,Avant,Propulsion arrière,143,5500,False,4,MPFI,OHC,100,8,9.5,3
32528.0,Porsche,Panamera,Coupé,3,429,131,165,227,3179,1.25,Essence,0.072,0.106,Arrière,Propulsion arrière,207,5900,False,6,MPFI,OHCF,95,7,9.5,3
34028.0,Porsche,Cayenne,Coupé,3,429,131,165,227,3179,1.25,Essence,0.072,0.106,Arrière,Propulsion arrière,207,5900,False,6,MPFI,OHCF,95,7,9.5,3
37028.0,Porsche,Boxter,Cabriolet,3,429,131,165,227,3179,1.27,Essence,0.072,0.106,Arrière,Propulsion arrière,207,5900,False,6,MPFI,OHCF,95,7,9.5,3
31400.5,Porsche,Cayenne,Hayon,3,446,128,184,250,3327,1.527,Essence,0.072,0.119,Avant,Propulsion arrière,288,5750,False,8,MPFI,DOHCV,100,8,10.0,1
9295.0,Renault,12Tl,Break,5,461,140,169,244,2163,1.17,Essence,0.098,0.132,Avant,Traction avant,90,5100,False,4,MPFI,OHC,88,10,8.7,0
9895.0,Renault,5 Gtl,Hayon,3,449,128,169,244,2163,1.116,Essence,0.098,0.132,Avant,Traction avant,90,5100,False,4,MPFI,OHC,88,10,8.7,2
11850.0,Saab,99E,Hayon,3,474,142,169,252,1983,1.206,Essence,0.089,0.119,Avant,Traction avant,110,5250,False,4,MPFI,OHC,90,8,9.31,3
12170.0,Saab,99Le,Berline,5,474,142,169,252,1983,1.222,Essence,0.089,0.119,Avant,Traction avant,110,5250,False,4,MPFI,OHC,90,8,9.3,2
15040.0,Saab,99Le,Hayon,3,474,142,169,252,1983,1.228,Essence,0.089,0.119,Avant,Traction avant,110,5250,False,4,MPFI,OHC,65,5,9.3,3
15510.0,Saab,99Gle,Berline,5,474,142,169,252,1983,1.251,Essence,0.089,0.119,Avant,Traction avant,110,5250,False,4,MPFI,OHC,90,8,9.3,2
18150.0,Saab,99Gle,Hayon,3,474,142,169,252,1983,1.274,Essence,0.081,0.111,Avant,Traction avant,160,5500,True,4,MPFI,DOHC,90,8,9.0,3
18620.0,Saab,99E,Berline,5,474,142,169,252,1983,1.291,Essence,0.081,0.111,Avant,Traction avant,160,5500,True,4,MPFI,DOHC,90,8,9.0,2
5118.0,Subaru,,Hayon,3,399,136,161,238,1590,0.93,Essence,0.132,0.153,Avant,Traction avant,69,4900,False,4,2BBL,OHCF,92,6,9.0,2
7053.0,Subaru,Dl,Hayon,3,401,136,162,238,1770,0.962,Essence,0.111,0.132,Avant,Traction avant,73,4400,False,4,2BBL,OHCF,92,7,8.7,2
7603.0,Subaru,Dl,Hayon,3,400,141,162,237,1770,1.016,Essence,0.111,0.132,Avant,Quatre roues motrices,73,4400,False,4,2BBL,OHCF,92,7,8.7,2
7126.0,Subaru,,Berline,5,437,133,166,247,1770,0.973,Essence,0.136,0.157,Avant,Traction avant,82,4800,False,4,2BBL,OHCF,92,7,9.5,0
7775.0,Subaru,Brz,Berline,5,437,133,166,247,1770,0.993,Essence,0.119,0.14,Avant,Traction avant,82,4400,False,4,2BBL,OHCF,92,7,9.5,0
9960.0,Subaru,Baja,Berline,5,437,133,166,247,1770,1.061,Essence,0.111,0.136,Avant,Traction avant,94,5200,False,4,MPFI,OHCF,92,7,9.0,0
9233.0,Subaru,R1,Berline,5,437,138,166,246,1770,1.082,Essence,0.102,0.106,Avant,Quatre roues motrices,82,4800,False,4,2BBL,OHCF,92,7,9.0,0
11259.0,Subaru,R2,Berline,5,437,138,166,246,1770,1.139,Essence,0.102,0.123,Avant,Quatre roues motrices,111,4800,True,4,MPFI,OHCF,92,7,7.7,0
7463.0,Subaru,Trezia,Break,5,441,135,166,246,1770,1.039,Essence,0.119,0.136,Avant,Traction avant,82,4800,False,4,2BBL,OHCF,92,7,9.0,0
10198.0,Subaru,Tribeca,Break,5,441,135,166,246,1770,1.114,Essence,0.106,0.132,Avant,Traction avant,94,5200,False,4,MPFI,OHCF,92,7,9.0,0
8013.0,Subaru,Dl,Break,5,441,139,166,246,1770,1.098,Essence,0.098,0.123,Avant,Quatre roues motrices,82,4800,False,4,2BBL,OHCF,92,7,9.0,0
11694.0,Subaru,Dl,Break,5,441,139,166,246,1770,1.202,Essence,0.098,0.098,Avant,Quatre roues motrices,111,4800,True,4,MPFI,OHCF,92,7,7.7,0
5348.0,Toyota,Corona Mark Ii,Hayon,3,403,138,162,243,1508,0.9,Essence,0.149,0.166,Avant,Traction avant,62,4800,False,4,2BBL,OHC,77,8,9.0,1
6338.0,Toyota,Corona,Hayon,3,403,138,162,243,1508,0.925,Essence,0.132,0.162,Avant,Traction avant,62,4800,False,4,2BBL,OHC,77,8,9.0,1
6488.0,Toyota,Corolla 1200,Hayon,5,403,138,162,243,1508,0.914,Essence,0.132,0.162,Avant,Traction avant,62,4800,False,4,2BBL,OHC,77,8,9.0,1
